Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
15/11/2018,65.50,65.50,64.75,64.75, -0.75, -1.15,"10,989,872","716,393.74"
14/11/2018,65.25,65.50,64.75,65.50, +0.25, +0.38,"13,882,624","905,857.07"
13/11/2018,64.25,65.25,64.00,65.25, +0.50, +0.77,"16,249,820","1,050,980.92"
12/11/2018,65.00,65.25,64.25,64.75, -0.25, -0.38,"10,643,227","687,796.42"
09/11/2018,65.25,65.50,64.50,65.00, -0.50, -0.76,"11,944,432","775,346.02"
08/11/2018,65.50,66.00,65.25,65.50, +0.50, +0.77,"32,439,833","2,126,701.46"
07/11/2018,65.25,65.25,64.50,65.00, -0.25, -0.38,"27,566,602","1,790,527.83"
06/11/2018,64.75,65.50,64.50,65.25, +0.75, +1.16,"57,279,397","3,726,595.61"
05/11/2018,63.75,64.50,63.50,64.50, +0.25, +0.39,"13,196,062","847,246.55"
02/11/2018,64.00,64.75,63.75,64.25, +0.50, +0.78,"25,201,039","1,620,460.85"
01/11/2018,64.00,64.25,63.50,63.75, -0.25, -0.39,"28,399,275","1,814,420.86"
31/10/2018,62.75,64.00,62.50,64.00, +1.50, +2.40,"45,672,141","2,892,390.48"
30/10/2018,62.25,62.75,61.75,62.50, +0.25, +0.40,"11,647,087","726,301.79"
29/10/2018,61.25,62.50,61.25,62.25, +1.25, +2.05,"32,233,478","2,001,051.39"
26/10/2018,61.25,61.75,60.50,61.00, -0.75, -1.21,"23,684,747","1,444,569.44"
25/10/2018,60.50,62.00,60.00,61.75, +0.75, +1.23,"45,216,369","2,753,348.26"
24/10/2018,61.00,61.50,60.50,61.00, -0.50, -0.81,"32,138,774","1,959,551.70"
22/10/2018,61.00,61.50,60.75,61.50, +0.50, +0.82,"18,180,573","1,113,839.25"
19/10/2018,61.75,62.00,60.00,61.00, -1.00, -1.61,"59,617,249","3,635,923.80"
18/10/2018,62.75,63.00,61.75,62.00, -0.75, -1.20,"30,531,114","1,894,720.73"
17/10/2018,64.00,64.00,62.75,62.75, -0.75, -1.18,"18,097,420","1,144,368.22"
16/10/2018,63.50,63.75,63.00,63.50, 0.00, 0.00,"17,152,820","1,086,033.10"
12/10/2018,62.75,64.00,62.50,63.50, +1.00, +1.60,"20,251,421","1,285,327.63"
11/10/2018,61.75,62.50,61.25,62.50, -0.50, -0.79,"38,349,059","2,378,512.55"
10/10/2018,62.50,63.25,62.50,63.00, +0.75, +1.20,"13,058,318","821,286.91"
09/10/2018,62.50,62.75,62.00,62.25, 0.00, 0.00,"19,601,954","1,222,180.13"
