Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
15/11/2018,211.00,212.00,209.00,210.00, 0.00, 0.00,"3,967,550","836,901.25"
14/11/2018,212.00,214.00,209.00,210.00, -3.00, -1.41,"5,264,151","1,113,214.14"
13/11/2018,212.00,216.00,211.00,213.00, +1.00, +0.47,"5,126,422","1,095,948.22"
12/11/2018,214.00,215.00,211.00,212.00, -2.00, -0.93,"2,888,205","613,290.12"
09/11/2018,213.00,215.00,213.00,214.00, -1.00, -0.47,"3,442,966","735,686.35"
08/11/2018,217.00,218.00,214.00,215.00, 0.00, 0.00,"5,331,232","1,150,915.95"
07/11/2018,216.00,217.00,214.00,215.00, -1.00, -0.46,"3,989,678","858,954.35"
06/11/2018,215.00,216.00,215.00,216.00, +2.00, +0.93,"1,688,181","363,270.85"
05/11/2018,212.00,216.00,212.00,214.00, 0.00, 0.00,"4,507,637","964,317.95"
02/11/2018,213.00,215.00,211.00,214.00, +2.00, +0.94,"7,312,340","1,557,127.92"
01/11/2018,208.00,212.00,208.00,212.00, +5.00, +2.42,"4,946,326","1,040,330.72"
31/10/2018,207.00,209.00,207.00,207.00, 0.00, 0.00,"4,315,961","896,927.14"
30/10/2018,206.00,209.00,205.00,207.00, +1.00, +0.49,"3,229,993","668,241.55"
29/10/2018,206.00,209.00,205.00,206.00, 0.00, 0.00,"4,901,555","1,014,202.60"
26/10/2018,208.00,208.00,206.00,206.00, -1.00, -0.48,"3,717,753","769,469.36"
25/10/2018,208.00,209.00,204.00,207.00, -2.00, -0.96,"9,222,296","1,901,029.00"
24/10/2018,208.00,211.00,208.00,209.00, -1.00, -0.48,"6,233,730","1,304,517.85"
22/10/2018,211.00,211.00,210.00,210.00, -1.00, -0.47,"1,980,035","416,740.62"
19/10/2018,212.00,213.00,210.00,211.00, -2.00, -0.94,"6,089,863","1,285,447.05"
18/10/2018,213.00,213.00,211.00,213.00, 0.00, 0.00,"3,889,584","826,314.98"
17/10/2018,213.00,214.00,212.00,213.00, +1.00, +0.47,"7,513,886","1,600,991.44"
16/10/2018,210.00,212.00,209.00,212.00, +2.00, +0.95,"5,375,421","1,131,050.51"
12/10/2018,209.00,210.00,208.00,210.00, +2.00, +0.96,"4,740,203","991,178.94"
11/10/2018,208.00,210.00,206.00,208.00, -4.00, -1.89,"9,101,628","1,894,311.36"
10/10/2018,211.00,212.00,210.00,212.00, +2.00, +0.95,"2,627,571","555,165.24"
09/10/2018,208.00,211.00,207.00,210.00, +2.00, +0.96,"4,600,919","961,593.73"
08/10/2018,210.00,211.00,208.00,208.00, -2.00, -0.95,"3,859,009","807,425.65"
05/10/2018,208.00,210.00,208.00,210.00, +2.00, +0.96,"2,653,413","555,640.07"
04/10/2018,208.00,210.00,207.00,208.00, 0.00, 0.00,"3,938,140","822,616.48"
03/10/2018,209.00,210.00,208.00,208.00, -1.00, -0.48,"1,992,159","415,516.98"
02/10/2018,209.00,211.00,207.00,209.00, -1.00, -0.48,"6,558,922","1,366,241.91"
01/10/2018,211.00,212.00,209.00,210.00, 0.00, 0.00,"2,061,713","434,144.04"
28/09/2018,212.00,213.00,209.00,210.00, -2.00, -0.94,"5,716,643","1,204,140.69"
27/09/2018,211.00,212.00,208.00,212.00, +1.00, +0.47,"3,567,464","749,740.71"
26/09/2018,211.00,212.00,209.00,211.00, 0.00, 0.00,"5,314,415","1,117,772.49"
25/09/2018,211.00,212.00,210.00,211.00, 0.00, 0.00,"4,006,483","844,752.06"
24/09/2018,208.00,212.00,208.00,211.00, +3.00, +1.44,"5,789,656","1,219,674.90"
21/09/2018,209.00,210.00,208.00,208.00, 0.00, 0.00,"7,370,821","1,539,082.58"
20/09/2018,211.00,212.00,207.00,208.00, -3.00, -1.42,"5,944,613","1,240,889.56"
19/09/2018,213.00,214.00,211.00,211.00, -2.00, -0.94,"3,913,666","831,707.22"
18/09/2018,209.00,214.00,208.00,213.00, +4.00, +1.91,"6,734,389","1,425,457.32"
17/09/2018,207.00,210.00,207.00,209.00, 0.00, 0.00,"3,929,284","819,773.51"
14/09/2018,209.00,212.00,209.00,209.00, 0.00, 0.00,"5,873,161","1,234,285.70"
13/09/2018,204.00,210.00,203.00,209.00, +8.00, +3.98,"9,854,653","2,038,268.86"
12/09/2018,200.00,202.00,199.00,201.00, -1.00, -0.50,"5,214,559","1,043,847.06"
11/09/2018,202.00,204.00,201.00,202.00, 0.00, 0.00,"5,482,920","1,108,185.58"
10/09/2018,202.00,203.00,201.00,202.00, 0.00, 0.00,"3,671,645","743,038.78"
07/09/2018,205.00,205.00,202.00,202.00, -3.00, -1.46,"3,629,128","738,843.46"
06/09/2018,204.00,206.00,204.00,205.00, +1.00, +0.49,"4,273,849","876,192.90"
05/09/2018,204.00,205.00,203.00,204.00, -1.00, -0.49,"3,048,110","623,092.41"
04/09/2018,206.00,207.00,204.00,205.00, -1.00, -0.49,"3,007,815","617,079.44"
03/09/2018,205.00,207.00,205.00,206.00, +1.00, +0.49,"3,071,176","632,487.95"
31/08/2018,206.00,207.00,204.00,205.00, -1.00, -0.49,"4,357,937","894,582.11"
30/08/2018,208.00,209.00,206.00,206.00, -1.00, -0.48,"1,960,715","406,698.52"
29/08/2018,210.00,210.00,207.00,207.00, -2.00, -0.96,"2,520,298","524,818.36"
28/08/2018,211.00,211.00,209.00,209.00, -1.00, -0.48,"2,675,732","561,701.37"
27/08/2018,209.00,210.00,208.00,210.00, +3.00, +1.45,"3,350,453","700,973.44"
24/08/2018,206.00,208.00,206.00,207.00, 0.00, 0.00,"1,588,964","328,853.35"
23/08/2018,208.00,208.00,206.00,207.00, 0.00, 0.00,"1,986,683","411,530.16"
22/08/2018,206.00,208.00,205.00,207.00, +1.00, +0.49,"2,589,561","535,090.33"
21/08/2018,207.00,208.00,204.00,206.00, 0.00, 0.00,"4,751,127","977,412.28"
20/08/2018,206.00,207.00,205.00,206.00, +1.00, +0.49,"2,158,089","444,535.92"
17/08/2018,205.00,206.00,204.00,205.00, +1.00, +0.49,"2,833,209","580,594.70"
16/08/2018,202.00,205.00,202.00,204.00, +3.00, +1.49,"3,437,170","698,879.31"
15/08/2018,203.00,203.00,201.00,201.00, -3.00, -1.47,"3,475,322","702,086.29"
14/08/2018,205.00,206.00,203.00,204.00, -2.00, -0.97,"3,255,060","664,417.18"
10/08/2018,208.00,208.00,206.00,206.00, -2.00, -0.96,"3,399,762","703,542.78"
09/08/2018,207.00,209.00,206.00,208.00, +2.00, +0.97,"4,094,253","850,252.61"
08/08/2018,206.00,208.00,205.00,206.00, 0.00, 0.00,"3,774,971","779,643.64"
07/08/2018,206.00,207.00,204.00,206.00, +1.00, +0.49,"3,068,785","631,234.65"
06/08/2018,206.00,207.00,204.00,205.00, 0.00, 0.00,"3,537,230","727,135.07"
03/08/2018,204.00,206.00,203.00,205.00, +2.00, +0.99,"2,207,158","451,895.42"
02/08/2018,205.00,206.00,202.00,203.00, -3.00, -1.46,"3,557,621","724,853.49"
01/08/2018,206.00,206.00,204.00,206.00, 0.00, 0.00,"4,918,711","1,008,906.43"
