Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
27/11/2018,8.75,8.90,8.65,8.70, -0.05, -0.57,"59,636,335","521,416.73"
26/11/2018,8.90,8.95,8.45,8.75, -0.10, -1.13,"96,309,207","837,982.21"
23/11/2018,8.55,8.90,8.45,8.85, +0.55, +6.63,"157,682,860","1,367,593.12"
22/11/2018,9.75,9.80,8.30,8.30, -1.40, -14.43,"316,977,047","2,838,175.27"
21/11/2018,9.70,9.85,9.50,9.70, -0.05, -0.51,"83,607,514","809,109.66"
20/11/2018,9.95,10.10,9.70,9.75, -0.25, -2.50,"57,332,146","565,322.93"
19/11/2018,10.10,10.10,9.90,10.00, 0.00, 0.00,"31,371,001","313,071.75"
16/11/2018,9.95,10.20,9.90,10.00, +0.05, +0.50,"58,667,238","587,597.60"
15/11/2018,10.10,10.40,9.85,9.95, -0.15, -1.49,"79,539,027","804,448.75"
14/11/2018,10.40,10.40,10.00,10.10, -0.20, -1.94,"67,331,411","688,943.97"
13/11/2018,9.65,10.40,9.65,10.30, +0.70, +7.29,"170,754,820","1,724,418.52"
12/11/2018,10.00,10.10,9.60,9.60, -0.35, -3.52,"66,853,529","652,774.57"
09/11/2018,10.10,10.20,9.85,9.95, -0.05, -0.50,"51,929,526","519,039.33"
08/11/2018,10.50,10.50,10.00,10.00, -0.70, -6.54,"136,714,440","1,401,319.56"
07/11/2018,10.40,10.70,10.00,10.70, +0.40, +3.88,"120,621,551","1,252,050.19"
06/11/2018,10.90,10.90,10.30,10.30, -0.40, -3.74,"111,678,876","1,184,376.22"
05/11/2018,10.20,10.80,10.20,10.70, +0.40, +3.88,"103,760,628","1,088,266.73"
02/11/2018,10.40,10.60,10.30,10.30, 0.00, 0.00,"95,011,312","990,314.72"
01/11/2018,10.00,10.80,10.00,10.30, +0.30, +3.00,"197,848,231","2,052,424.05"
31/10/2018,8.90,10.20,8.90,10.00, +1.20, +13.64,"210,296,270","1,994,859.73"
30/10/2018,8.95,8.95,8.75,8.80, -0.05, -0.56,"39,240,838","347,810.52"
29/10/2018,8.80,9.05,8.75,8.85, +0.15, +1.72,"53,374,355","475,229.47"
26/10/2018,8.80,8.90,8.65,8.70, -0.20, -2.25,"60,061,116","524,805.01"
25/10/2018,8.45,8.90,8.25,8.90, +0.35, +4.09,"87,772,799","752,600.69"
24/10/2018,8.65,8.90,8.45,8.55, -0.25, -2.84,"76,874,056","665,237.16"
22/10/2018,9.05,9.15,8.80,8.80, -0.25, -2.76,"45,823,405","409,185.33"
19/10/2018,8.80,9.15,8.70,9.05, +0.15, +1.69,"136,454,304","1,219,147.99"
18/10/2018,9.60,9.70,8.75,8.90, -0.70, -7.29,"219,103,501","1,996,096.97"
17/10/2018,10.10,10.10,9.60,9.60, -0.40, -4.00,"94,696,977","929,147.72"
16/10/2018,10.10,10.10,9.85,10.00, -0.10, -0.99,"50,075,924","500,210.19"
12/10/2018,10.20,10.30,10.00,10.10, +0.10, +1.00,"58,402,537","590,986.14"
11/10/2018,9.75,10.20,9.65,10.00, -0.20, -1.96,"144,451,233","1,432,718.39"
10/10/2018,9.95,10.20,9.95,10.20, +0.40, +4.08,"86,074,403","867,156.78"
09/10/2018,9.70,9.90,9.65,9.80, +0.25, +2.62,"116,277,991","1,136,788.96"
08/10/2018,10.30,10.70,9.40,9.55, -0.85, -8.17,"337,005,194","3,299,305.37"
05/10/2018,10.60,10.90,10.20,10.40, -0.10, -0.95,"122,784,101","1,297,194.38"
04/10/2018,10.70,10.90,10.40,10.50, -0.50, -4.55,"159,642,095","1,698,256.14"
03/10/2018,12.00,12.00,10.90,11.00, -0.80, -6.78,"168,558,655","1,910,522.88"
02/10/2018,12.10,12.20,11.70,11.80, -0.30, -2.48,"58,560,545","697,197.65"
01/10/2018,12.10,12.30,12.00,12.10, 0.00, 0.00,"75,667,894","923,190.16"
27/11/2018,8.75,8.90,8.65,8.70, -0.05, -0.57,"59,636,335","521,416.73"
26/11/2018,8.90,8.95,8.45,8.75, -0.10, -1.13,"96,309,207","837,982.21"
23/11/2018,8.55,8.90,8.45,8.85, +0.55, +6.63,"157,682,860","1,367,593.12"
22/11/2018,9.75,9.80,8.30,8.30, -1.40, -14.43,"316,977,047","2,838,175.27"
21/11/2018,9.70,9.85,9.50,9.70, -0.05, -0.51,"83,607,514","809,109.66"
20/11/2018,9.95,10.10,9.70,9.75, -0.25, -2.50,"57,332,146","565,322.93"
19/11/2018,10.10,10.10,9.90,10.00, 0.00, 0.00,"31,371,001","313,071.75"
16/11/2018,9.95,10.20,9.90,10.00, +0.05, +0.50,"58,667,238","587,597.60"
15/11/2018,10.10,10.40,9.85,9.95, -0.15, -1.49,"79,539,027","804,448.75"
14/11/2018,10.40,10.40,10.00,10.10, -0.20, -1.94,"67,331,411","688,943.97"
13/11/2018,9.65,10.40,9.65,10.30, +0.70, +7.29,"170,754,820","1,724,418.52"
12/11/2018,10.00,10.10,9.60,9.60, -0.35, -3.52,"66,853,529","652,774.57"
09/11/2018,10.10,10.20,9.85,9.95, -0.05, -0.50,"51,929,526","519,039.33"
08/11/2018,10.50,10.50,10.00,10.00, -0.70, -6.54,"136,714,440","1,401,319.56"
07/11/2018,10.40,10.70,10.00,10.70, +0.40, +3.88,"120,621,551","1,252,050.19"
06/11/2018,10.90,10.90,10.30,10.30, -0.40, -3.74,"111,678,876","1,184,376.22"
05/11/2018,10.20,10.80,10.20,10.70, +0.40, +3.88,"103,760,628","1,088,266.73"
02/11/2018,10.40,10.60,10.30,10.30, 0.00, 0.00,"95,011,312","990,314.72"
01/11/2018,10.00,10.80,10.00,10.30, +0.30, +3.00,"197,848,231","2,052,424.05"
31/10/2018,8.90,10.20,8.90,10.00, +1.20, +13.64,"210,296,270","1,994,859.73"
30/10/2018,8.95,8.95,8.75,8.80, -0.05, -0.56,"39,240,838","347,810.52"
29/10/2018,8.80,9.05,8.75,8.85, +0.15, +1.72,"53,374,355","475,229.47"
26/10/2018,8.80,8.90,8.65,8.70, -0.20, -2.25,"60,061,116","524,805.01"
25/10/2018,8.45,8.90,8.25,8.90, +0.35, +4.09,"87,772,799","752,600.69"
24/10/2018,8.65,8.90,8.45,8.55, -0.25, -2.84,"76,874,056","665,237.16"
22/10/2018,9.05,9.15,8.80,8.80, -0.25, -2.76,"45,823,405","409,185.33"
19/10/2018,8.80,9.15,8.70,9.05, +0.15, +1.69,"136,454,304","1,219,147.99"
18/10/2018,9.60,9.70,8.75,8.90, -0.70, -7.29,"219,103,501","1,996,096.97"
17/10/2018,10.10,10.10,9.60,9.60, -0.40, -4.00,"94,696,977","929,147.72"
16/10/2018,10.10,10.10,9.85,10.00, -0.10, -0.99,"50,075,924","500,210.19"
12/10/2018,10.20,10.30,10.00,10.10, +0.10, +1.00,"58,402,537","590,986.14"
11/10/2018,9.75,10.20,9.65,10.00, -0.20, -1.96,"144,451,233","1,432,718.39"
10/10/2018,9.95,10.20,9.95,10.20, +0.40, +4.08,"86,074,403","867,156.78"
09/10/2018,9.70,9.90,9.65,9.80, +0.25, +2.62,"116,277,991","1,136,788.96"
08/10/2018,10.30,10.70,9.40,9.55, -0.85, -8.17,"337,005,194","3,299,305.37"
05/10/2018,10.60,10.90,10.20,10.40, -0.10, -0.95,"122,784,101","1,297,194.38"
04/10/2018,10.70,10.90,10.40,10.50, -0.50, -4.55,"159,642,095","1,698,256.14"
03/10/2018,12.00,12.00,10.90,11.00, -0.80, -6.78,"168,558,655","1,910,522.88"
02/10/2018,12.10,12.20,11.70,11.80, -0.30, -2.48,"58,560,545","697,197.65"
01/10/2018,12.10,12.30,12.00,12.10, 0.00, 0.00,"75,667,894","923,190.16"
27/11/2018,8.75,8.90,8.65,8.70, -0.05, -0.57,"59,636,335","521,416.73"
26/11/2018,8.90,8.95,8.45,8.75, -0.10, -1.13,"96,309,207","837,982.21"
23/11/2018,8.55,8.90,8.45,8.85, +0.55, +6.63,"157,682,860","1,367,593.12"
22/11/2018,9.75,9.80,8.30,8.30, -1.40, -14.43,"316,977,047","2,838,175.27"
21/11/2018,9.70,9.85,9.50,9.70, -0.05, -0.51,"83,607,514","809,109.66"
20/11/2018,9.95,10.10,9.70,9.75, -0.25, -2.50,"57,332,146","565,322.93"
19/11/2018,10.10,10.10,9.90,10.00, 0.00, 0.00,"31,371,001","313,071.75"
16/11/2018,9.95,10.20,9.90,10.00, +0.05, +0.50,"58,667,238","587,597.60"
15/11/2018,10.10,10.40,9.85,9.95, -0.15, -1.49,"79,539,027","804,448.75"
14/11/2018,10.40,10.40,10.00,10.10, -0.20, -1.94,"67,331,411","688,943.97"
13/11/2018,9.65,10.40,9.65,10.30, +0.70, +7.29,"170,754,820","1,724,418.52"
12/11/2018,10.00,10.10,9.60,9.60, -0.35, -3.52,"66,853,529","652,774.57"
09/11/2018,10.10,10.20,9.85,9.95, -0.05, -0.50,"51,929,526","519,039.33"
08/11/2018,10.50,10.50,10.00,10.00, -0.70, -6.54,"136,714,440","1,401,319.56"
07/11/2018,10.40,10.70,10.00,10.70, +0.40, +3.88,"120,621,551","1,252,050.19"
06/11/2018,10.90,10.90,10.30,10.30, -0.40, -3.74,"111,678,876","1,184,376.22"
05/11/2018,10.20,10.80,10.20,10.70, +0.40, +3.88,"103,760,628","1,088,266.73"
02/11/2018,10.40,10.60,10.30,10.30, 0.00, 0.00,"95,011,312","990,314.72"
01/11/2018,10.00,10.80,10.00,10.30, +0.30, +3.00,"197,848,231","2,052,424.05"
31/10/2018,8.90,10.20,8.90,10.00, +1.20, +13.64,"210,296,270","1,994,859.73"
30/10/2018,8.95,8.95,8.75,8.80, -0.05, -0.56,"39,240,838","347,810.52"
29/10/2018,8.80,9.05,8.75,8.85, +0.15, +1.72,"53,374,355","475,229.47"
26/10/2018,8.80,8.90,8.65,8.70, -0.20, -2.25,"60,061,116","524,805.01"
25/10/2018,8.45,8.90,8.25,8.90, +0.35, +4.09,"87,772,799","752,600.69"
24/10/2018,8.65,8.90,8.45,8.55, -0.25, -2.84,"76,874,056","665,237.16"
22/10/2018,9.05,9.15,8.80,8.80, -0.25, -2.76,"45,823,405","409,185.33"
19/10/2018,8.80,9.15,8.70,9.05, +0.15, +1.69,"136,454,304","1,219,147.99"
18/10/2018,9.60,9.70,8.75,8.90, -0.70, -7.29,"219,103,501","1,996,096.97"
17/10/2018,10.10,10.10,9.60,9.60, -0.40, -4.00,"94,696,977","929,147.72"
16/10/2018,10.10,10.10,9.85,10.00, -0.10, -0.99,"50,075,924","500,210.19"
12/10/2018,10.20,10.30,10.00,10.10, +0.10, +1.00,"58,402,537","590,986.14"
11/10/2018,9.75,10.20,9.65,10.00, -0.20, -1.96,"144,451,233","1,432,718.39"
10/10/2018,9.95,10.20,9.95,10.20, +0.40, +4.08,"86,074,403","867,156.78"
09/10/2018,9.70,9.90,9.65,9.80, +0.25, +2.62,"116,277,991","1,136,788.96"
08/10/2018,10.30,10.70,9.40,9.55, -0.85, -8.17,"337,005,194","3,299,305.37"
05/10/2018,10.60,10.90,10.20,10.40, -0.10, -0.95,"122,784,101","1,297,194.38"
04/10/2018,10.70,10.90,10.40,10.50, -0.50, -4.55,"159,642,095","1,698,256.14"
03/10/2018,12.00,12.00,10.90,11.00, -0.80, -6.78,"168,558,655","1,910,522.88"
02/10/2018,12.10,12.20,11.70,11.80, -0.30, -2.48,"58,560,545","697,197.65"
01/10/2018,12.10,12.30,12.00,12.10, 0.00, 0.00,"75,667,894","923,190.16"
